album	artist	genre	release_date	critic	score	body
Warpaint	Warpaint	Pop/Rock	2014-01-21 00:00:00	PopMatters	74.0	This album is the first time that all of the band members have worked together on creating songs, and it makes a significant difference in their sound without disturbing the band’s core.
Again & Again	Thieves Like Us	Pop/Rock	2010-07-06 00:00:00	Pitchfork	57.0	A light but pervasive dusting of flanger effects and wavy-tuned synths makes the melodies sound cloudy and unfocused. Even the singles don't especially stand out.
Hard Candy	Madonna	Rock	2008-04-29 00:00:00	Rolling Stone	65.0	Even when she wrestles with Pharrell's abrupt stylistic changes or lets herself get absorbed in a Timberlake melody, Madonna still finds her way back on top.
My Love is a Bulldozer	Venetian Snares	Electronic	2014-06-17 00:00:00	Exclaim	65.0	Venetian Snares is a veritable virtuoso when it comes to drum programming, and as was to be expected, My Love is a Bulldozer is littered with downright slick percussion.
Pluto	Future	Rap	2012-04-17 00:00:00	HipHopDX	68.0	At times tasteful and other times tasteless, Pluto demonstrates a bravado that knows no shame.
Repave	Volcano Choir	Pop/Rock	2013-09-03 00:00:00	DIY Magazine	77.0	The fact that Vernon’s voice is so distinctive means it’s difficult to distinguish this from his Bon Iver work yet there’s more than enough shimmering beauty here to get excited about.
RTJ2	Run the Jewels	Rap	2014-10-27 00:00:00	Fact Magazine (UK)	89.0	It’s the sheer energy on display that pushes Run The Jewels 2 through. The production is popping throughout, funky as hell, and often dotted with unexpected twists and turns.
Shall Noise Upon	Apollo Sunshine	Rock	2008-09-02 00:00:00	Slant Magazine	76.0	Their new album, Shall Noise Upon, is intellectually thinner, more musically pedantic, and not quite as tongue-in-cheek.
Rock'n'Roll	Ryan Adams	Indie	2003-11-04 00:00:00	No Ripcord	66.0	No matter how cliched and predictable this record gets, there are always some undeniable hooks to lure you back in before your patience wears thin.
C'mon C'mon	Sheryl Crow	Rock	2002-04-16 00:00:00	Mojo	63.0	It's not perfect by any means, and having two of the weakest tracks in pole positions doesn't help. [May 2002, p.98]
Adventures in Your Own Backyard	Patrick Watson	Pop/Rock	2012-05-01 00:00:00	NOW Magazine	71.0	While Adventures In Your Own Backyard can't be described as instantly catchy, its songs wend their way into your memory as if you've always known them.
See You Next Tuesday	Fannypack	Pop	2005-05-10 00:00:00	Blender	79.0	Despite a short-circuited sequence of electroclash songs, the girls are winning throughout. [Apr 2005, p.116]
The Avalanche: Outtakes & Extras From The Illinois Album	Sufjan Stevens	Indie	2006-07-11 00:00:00	Lost At Sea	76.0	Listening to The Avalanche is a lot like going back to visit old friends - familiar, cozy and safe.
Silent Shout	The Knife	Indie	2006-07-25 00:00:00	Uncut	74.0	The sound of a group entering their prime, Silent Shout--strange, bold and tuneful--is textbook Euro-pop. [Apr 2006, p.110]
can'tneverdidnothin'	Nikka Costa	R&B;	2005-05-24 00:00:00	Paste Magazine	67.0	Finds her instantly accessible sound evolving at a satisfying pace. [Aug/Sep 2005, p.130]
Okemah And The Melody Of Riot	Son Volt	Rock	2005-07-12 00:00:00	ShakingThrough.net	72.0	Despite taking few chances thematically or musically, the reincarnated Son Volt delivers a tight, nothing-wasted set.
+	Ed Sheeran	Pop/Rock	2012-06-12 00:00:00	Q Magazine	67.0	Fresh-faced wunderkind aces his debut. [Oct 2011, p.118]
Bushcraft	Baptists	Pop/Rock	2013-02-18 00:00:00	No Ripcord	80.0	It’s an album of perpetual fruition, payoff meeting payoff with gratifying speed and the rush of riff-borne frenzy.
Word Of Mouf	Ludacris	Rap	2001-11-27 00:00:00	Playlouder	67.0	It's crude, certainly, but Ludacris has enough wit and chutzpah to elevate this above the dross.
About A Boy [Soundtrack]	Badly Drawn Boy	Rock	2002-04-23 00:00:00	The A.V. Club	79.0	If About A Boy doesn't quite have the anything-can-happen vibe of Bewilderbeast, it still reveals a remarkably gifted artist.
El Pintor	Interpol	Pop/Rock	2014-09-09 00:00:00	New Musical Express (NME)	77.0	Fifth time round, they're proving there's still plenty of value in their elegantly downtrodden aesthetic.
Tripper	Hella	Pop/Rock	2011-08-30 00:00:00	Prefix Magazine	72.0	Hella are a band reinvigorated on Tripper, realizing and embracing with all of their arms (a run through any of the tracks here definitely makes it sounds like they each have more than two) the sounds that absolutely work best for them while showcasing their growth as songwriters and the experiences they've picked up from their myriad side projects.
Safari Disco Club	Yelle	Electronic	2011-03-29 00:00:00	MorriBey	69.0	Meant to score 7If you like James Blake, Nicolas Jaar, Destroyer, Lykke Li and want something a bit faster and lighter this is the album. ItsMeant to score 7If you like James Blake, Nicolas Jaar, Destroyer, Lykke Li and want something a bit faster and lighter this is the album. Its french and fun. You have to watch the video for safari disco to begin to appreciate them.&hellip;Full Review &raquo;
Two-Way Mirror	Crystal Antlers	Pop/Rock	2011-07-19 00:00:00	Beats Per Minute (formerly One Thirty BPM)	65.0	All in all, Two-Way Mirror is a good but flawed album, with plenty of things to excite, but a few things that can disappoint.
Strange Weekend	Porcelain Raft	Pop/Rock	2012-01-24 00:00:00	CybelesReverie	73.0	I recently had the pleasure of seeing Porcelain Raft support M83. 'Strange Weekend' is a stunning debut, fragile yet robust, with 'Shapeless &I recently had the pleasure of seeing Porcelain Raft support M83. 'Strange Weekend' is a stunning debut, fragile yet robust, with 'Shapeless & Gone', 'Unless You Speak From Your Heart' and 'The Way In' as stand out tracks. Hopefully a sign of even better things to come. At 35 minutes it is short, but dense.&hellip;Full Review &raquo;
Hold Time	M. Ward	Rock	2009-02-17 00:00:00	Drowned In Sound	79.0	"M. Ward turns in a star-studded set that feels at once a logical progression from 2006’s ""Post-War"" and a step closer to that all-out classic his preceding suggests; an assimilation and appropriation of American blues, gospel, country and folk as lovingly, winningly relayed as we’ve come to expect from the Portland-based troubadour."
Replica	Oneohtrix Point Never	Electronic	2011-11-08 00:00:00	Pitchfork	80.0	This is music that digs deeper and burrows beneath the level of shared associations to discover the sparkling emotional potential of carefully arranged vibrations moving through the air.
Mosquito	Yeah Yeah Yeahs	Pop/Rock	2013-04-16 00:00:00	Entertainment Weekly	75.0	It's a messy, rock-out-in-the-garage record, and there's energy to spare on the gospel-disco rave-up ''Sacrilege.'' But there are too many half-formed ideas and failed experiments here.
Lights From Paradise	Quest for Fire	Pop/Rock	2010-08-31 00:00:00	AllMusic	78.0	To sum it all up succinctly, there is no shortage of psychedelic jams to be found throughout Quest for Fire's Lights from Paradise.
Out West	Gomez	Indie	2005-06-07 00:00:00	Q Magazine	64.0	The attention does wander over two CDs... but vigorous renditions of Bring It On and Get Myself Arrested are reminders that Gomez's psych-blues revivalism really was quite special. [Aug 2005, p.128]
Which Bitch?	The View	Rock	2009-02-02 00:00:00	musicOMH.com	69.0	There are some excellent tracks on the album but all in all this is a serious disappointment from a band of whom much more was expected.
Youth & Young Manhood	Kings of Leon	Rock	2003-08-19 00:00:00	Junkmedia	79.0	The band shows an incredible level of bravado on their album of fun summer hymns, but has a hard time breaking through the barrier the lackluster vocals create.
Skimskitta	Mira Calix	Electronic	2003-03-11 00:00:00	Mojo	70.0	An unconventional beauty. [March 2003, p.114]
J. Lo	Jennifer Lopez	Pop	2001-01-23 00:00:00	kristianm_zr	52.0	One of the best albums in pop music. This one made Jennifer what she is today. J.Lo, the well known brand in entertainment history. DiverseOne of the best albums in pop music. This one made Jennifer what she is today. J.Lo, the well known brand in entertainment history. Diverse sound of the album proves that JLo shines equaly as a pop, latin and urban artist.&hellip;Full Review &raquo;
Introducing Joss Stone	Joss Stone	R&B;	2007-03-20 00:00:00	Slant Magazine	64.0	It's the rare album that values vocal talent and production prowess with equal measure—and, for the most part, it succeeds.
My Ride's Here	Warren Zevon	Rock	2002-05-07 00:00:00	SteveE	71.0	More genius from the underappreciated Mr. Zevon. Really, who else would find a rhyme for seraphim, and get Letterman to guest, on the sameMore genius from the underappreciated Mr. Zevon. Really, who else would find a rhyme for seraphim, and get Letterman to guest, on the same album? Wish I would have bought it long ago and he could have spent the royalty $$ himself.&hellip;Full Review &raquo;
Black Noise	Pantha du Prince	Electronic	2010-02-09 00:00:00	The New York Times	83.0	Black Noise is slightly busier than Pantha du Prince’s sublime “This Bliss” (Dial) from 2007, a pensive, slender and tough album that remains his high-water mark.
Glasvegas	Glasvegas	Indie	2009-01-06 00:00:00	Pitchfork	74.0	In their rush to be the UK's most important band, they seem to have ignored restraint, charisma, and charm--the qualities that made them Next Big Thing candidates in the first place.
Fortress	Miniature Tigers	Pop/Rock	2010-07-27 00:00:00	fechner	69.0	"The Miniature Tigers did a great job of mixing things up but still keeping the same charm they had in ""Tell it to the Volcano."" Up-tempo songsThe Miniature Tigers did a great job of mixing things up but still keeping the same charm they had in ""Tell it to the Volcano."" Up-tempo songs like ""Bullfighter Jacket"" balanced nicely with slower tunes like ""Dark Tower."" Overall a great and well balanced album.&hellip;Full Review &raquo;"
Pinch & Shackleton	Pinch	Electronic	2011-12-06 00:00:00	Resident Advisor	84.0	It is difficult to pick any more jewels off this dance floor diadem, making the most as it does of the long player context.
We Will Not Harm You	Dobie	Electronic	2013-02-19 00:00:00	AllMusic	73.0	We Will Not Harm You does just what it does on the tin, and so much more.
Mantaray	Siouxsie	Rock	2007-10-02 00:00:00	Hot Press	72.0	After thirty years, Souxise's still twice as interesting as three people half her age.
In Rolling Waves	The Naked and Famous	Pop/Rock	2013-09-17 00:00:00	Clash Music	72.0	When it all comes together, In Rolling Waves is a thrilling, melodramatic ride through the regions where pop, electro and alternative rock crossover, and finally meet.
Jamie Lidell	Jamie Lidell	Pop/Rock	2013-02-19 00:00:00	Mojo	71.0	The music could overwhelm lesser singers but Lidell's astonishing vocals carry it off with remarkable elan. [Mar 2013, p.90]
Mirrored	Battles	Indie	2007-05-22 00:00:00	Slant Magazine	86.0	Elaborate time signatures and clever tape manipulations abound, and there's some fun trying to guess which instruments are synthesized and which are authentic, but Mirrored suffers from being too bright and spirited.
Semi Detached	Blancmange	Pop/Rock	2015-03-23 00:00:00	Uncut	66.0	"Semi Detached is stuffed with perverse gear such as acid shanty ""Deep In The Mine."" [May 2015, p.71]"
Arabia Mountain	Black Lips	Pop/Rock	2011-06-07 00:00:00	Vampire25	80.0	i thoroughly enjoyed this LP. Black Lips make experimental punk songs that are very catchy, very simple, and extremely effective. The more Ii thoroughly enjoyed this LP. Black Lips make experimental punk songs that are very catchy, very simple, and extremely effective. The more I listen to it, the more I catch onto it and enjoy it more. All In All, Black lips are a great band and this a great record. B+&hellip;Full Review &raquo;
Pop Negro	El Guincho	Electronic	2010-09-14 00:00:00	Spin	74.0	Though the title hints at darker turns, the album never steps out of the glare.
Magna Carta Holy Grail	Jay-Z	Rap	2013-07-04 00:00:00	The A.V. Club	60.0	The bulk of Magna Carta, however, really is just an obscenely rich dude gloating about his spoils. Where West continues to introduce new twists in his ever-unfolding story—with Yeezus, he’s reinvented himself as rap’s most compelling villain—Jay-Z has remained static, frozen in permanent victory.
Dark Sky Paradise	Big Sean	Rap	2015-02-24 00:00:00	Entertainment Weekly	72.0	A spirited combination of grown-man statement-making and round-the-way bull.
Attak	KMFDM	Rock	2002-03-19 00:00:00	Splendid	56.0	The quality is uniform, but below par.
Tribal	Imelda May	Pop/Rock	2014-09-23 00:00:00	Magnet	71.0	Imelda May's fourth album works best when she drops the bad-bad-girl stereotypes, but takes a few songs for her to hit her stride. [No. 112, p.59]
Mini Mansions	Mini Mansions	Pop/Rock	2010-11-02 00:00:00	Filter	70.0	"With Queens of the Stone Age bassist Michael ""Mikey Shoes"" Shuman taking a breather from that instrument-instead, he performs guitar and drums and sings--the L.A. trio's debut is to shimmering Brit pop what QOTSA is to hard rock."
Fixin' The Charts, Volume One	Everybody Was In The French Resistance...Now	Rock	2010-02-16 00:00:00	Spin	60.0	As always, Argos stumbles into poignancy on his way to the punch line.
Fortress Around My Heart	Ida Maria	Rock	2009-04-14 00:00:00	Pitchfork	74.0	Still, overreaching is a forgivable flaw on an otherwise accomplished debut, which usually sounds so confident in its creator's insecurities.
Marry Me	St. Vincent	Indie	2007-07-10 00:00:00	The A.V. Club	78.0	Marry Me, seduces with one hand and stabs with the other.
No Elephants	Lisa Germano	Pop/Rock	2013-02-12 00:00:00	Blurt Magazine	68.0	More a series of half-drawn soundscapes than actual songs per se, No Elephants comes across as an exercise in the abstract, in which the artist makes almost no attempt to color inside the outlines.
You & I	Cut Off Your Hands	Indie	2009-01-20 00:00:00	AllMusic	61.0	You and I's stranger moments reveal that Cut Off Your Hands have more personality than the album's more tasteful songs suggest.
Reflektor	Arcade Fire	Pop/Rock	2013-10-29 00:00:00	Los Angeles Times	80.0	Genre jumping aside, it's the patterns as much as the riffs that are beguiling here.
Holy Wood (In the Shadow of the Valley of Death)	Marilyn Manson	Rock	2000-11-14 00:00:00	Billboard	72.0	Manson proves again that he's one of the most skilled lyricists in rock today.
Happiness	Fridge	Indie	2001-09-18 00:00:00	New Musical Express (NME)	82.0	Easily their finest record yet, a genre-shrugging masterpiece of delicate musicianship and warm feeling.
Reanimation	Linkin Park	Rock	2002-07-30 00:00:00	Entertainment Weekly	60.0	On the one hand, the results are more varied than the monochromatic ''Hybrid Theory.'' On the other hand, the remixes at times obliterate one of the band's most distinctive characteristics -- the vocal interplay between singer Chester Bennington and MC Mike Shinoda, a blend that allows their pop tendencies to poke through from time to time.
The Holy Pictures	David Holmes	Rock	2008-09-08 00:00:00	Drowned In Sound	79.0	It's a little less brazen, a little more personal but it fits together as a listen-start-to-finish endeavor as well if not better than any of his previous works and that is testament indeed.
Whitechapel	Whitechapel	Pop/Rock	2012-06-19 00:00:00	Kerrang!	77.0	This is as exciting as heavy music gets in 2012. [23 Jun 2012, p.54]
Hawk	Isobel Campbell	Pop/Rock	2010-08-24 00:00:00	Q Magazine	75.0	The best parts of Hawk, where Capbell's voice slips around Lanegan's like a membrane and the duo assumes a single, menacing persona. [Sep 2010, p.121]
Different Gear, Still Speeding	Beady Eye	Pop/Rock	2011-03-01 00:00:00	sk75	65.0	"""Different Gear ,Still Speeding"" is an album about love, hope,life & dreams.It sounds freshfree,uplifting,soulful,happy,and sensitive.A""Different Gear ,Still Speeding"" is an album about love, hope,life & dreams.It sounds freshfree,uplifting,soulful,happy,and sensitive.A great new start for Liam Gallagher and co , a huge surprise for everyone , even for Oasis fans.Perfect in its imperfection and that's finally how a rock n roll record should sound.These guys should be proud and we should feel lucky to hear that great voice singing again classics such as ""The Beat Goes On"" , ""Four Letter Word"", ""Wigwam"" or ""Kill For A Dream"" to name a few!Best debut album of the year by the best new band of the year!&hellip;Full Review &raquo;"
Nabuma Rubberband	Little Dragon	Electronic	2014-05-13 00:00:00	Slant Magazine	77.0	Their music now meticulous and agile, Little Dragon has matched their ambition with execution, and the result is an album that, for all of its exhaustive details and complex rhythms, rarely feels cumbersome.
Black Holes & Revelations	Muse	Rock	2006-07-11 00:00:00	Uncut	75.0	Consolidates and amplifies everything they've done up to now. [Aug 2006, p.110]
Complete Surrender	Slow Club	Pop/Rock	2014-07-15 00:00:00	Drowned In Sound	74.0	Sleeker, stronger and more confident than ever, on Complete Surrender Slow Club flourish with each strum and every breath.
Pocketful of Sunshine	Natasha Bedingfield	Rock	2008-01-22 00:00:00	Blender	65.0	Bedingfield’s second U.S. release sticks mostly to love odes and peppy self-help bromides, which occasionally veer close to Colbie Caillat’s lake of goop. It would be irksome if not for the uniformly strong pop and R&B; songcraft.
The Calling	Mary Chapin Carpenter	Country	2007-03-06 00:00:00	JohnD	77.0	Obviously the last reviewer (Todd W) is clueless. Second generation musicians? Harry and Karen? REALLY??? Are we comparing this to MuskratObviously the last reviewer (Todd W) is clueless. Second generation musicians? Harry and Karen? REALLY??? Are we comparing this to Muskrat Love, or Taxi? This must be someone who listens to too much Rap, or perhaps went to too many Hot Tuna (Electric band) concerts and has no eardrums. This is an album that touches the heart, without being pretentious. I&#039;m not a country music fan... but Mary has a way to get the message across the boundary of typecasting. Great album.&hellip;Full Review &raquo;
Real Estate	Real Estate	Indie	2009-11-17 00:00:00	Tiny Mix Tapes	79.0	"Real Estate might not be the best classicist-leaning pop record of the year (that dubious honor goes to the more stylistically varied ""Album,"" by Girls), but it certainly is the most confident, the most assured, and the most unassuming."
Hurry Up, We're Dreaming	M83	Electronic	2011-10-18 00:00:00	The Observer (UK)	76.0	"Never shy of delivering an electro cri de coeur where a simple chord progression will do, Anthony ""M83"" Gonzalez fully indulges his fondness for the grand gesture on his sixth record."
Oceans Will Rise	The Stills	Rock	2008-08-19 00:00:00	Under The Radar	64.0	Nothing spectacular, but something long-lasting and reliable. [Fall 2008, p.84]
Reveal	R.E.M.	Rock	2001-05-15 00:00:00	CDNow	76.0	"There's a welcome sunniness to much of the album, with ""Beat a Drum"" recalling The Beach Boys' ""Feel Flows,"" and ""Imitation of Life"" displaying some of that classic Document-era jangle. The two songs are Reveal's only real highlights."
Avi Buffalo	Avi Buffalo	Rock	2010-04-27 00:00:00	idiotwind	81.0	While easily accessible and quite pleasant, this album is sincere in both content and form. Its airy guitar and straightforward rockWhile easily accessible and quite pleasant, this album is sincere in both content and form. Its airy guitar and straightforward rock instrumentation are complemented perfectly by Zahner-Isenberg's youthful, at times whimsical, vocals. This songwriter has an impressive knack for catchy melodies and face-value hooks, but simultaneously reveals maturity through contemplative chord structure and stylistic variety. The album successfully integrates various rock, folk, and pop influences. It may not be a game-changing or ground-breaking opus, but it should definitely not be overlooked. At very least, it is a great debut from a very promising songwriter.&hellip;Full Review &raquo;
Black and White	Wretch 32	Electronic	2011-08-30 00:00:00	The Independent on Sunday (UK)	70.0	"The beats aren't always the best, but Wretch, who lives on the notorious Tiverton Estate and whose ""mum's still living in the ends"", has a self-awareness lacking in many of his peers."
The Lady Killer	Cee Lo Green	Rap	2010-11-09 00:00:00	Los Angeles Times	80.0	For every swanky old-school touch, there's a glassy modernity that makes the album a sexy sonic adventure of loving and leaving.
By The Throat	Ben Frost	Electronic	2009-11-10 00:00:00	PopMatters	82.0	Certainly, this won’t be everyone’s cup of tea. But for those looking for mystical sources of inspiration, or an unsettling soundtrack, then By the Throat might be just the trick.
Maroon	Barenaked Ladies	Rock	2000-09-12 00:00:00	Q Magazine	59.0	En masse, Maroon's brisk acoustic rock settings and the hyperactive rush of words can still have you reaching for the skip button. But broken into bite-size chunks, its bitterly humorous dissection of the fumbling absurdities of modern life and death is not without pathos.
III	Espers	Rock	2009-10-20 00:00:00	Hot Press	76.0	Third time's still a charm with Philadelphian prog-folk contingent.
Garden Ruin	Calexico	Indie	2006-04-11 00:00:00	Uncut	75.0	Burns and Convertino prove they can play it relatively straight, without sacrificing Calexico's hard-earned status as a band that matters. [May 2006, p.104]
Hidden Vagenda	Kimya Dawson	Indie	2004-10-05 00:00:00	sweennie	73.0	wonderfull!
Love & Devotion	Heterotic	Electronic	2013-04-02 00:00:00	Drowned In Sound	65.0	Even when downcast, Love & Devotion is a sensual, lively record and anyone mourning the death of Air France should find much to enjoy here.
Tirtha	Vijay Iyer	Jazz	2011-03-08 00:00:00	The Guardian	81.0	Iyer and his partners sound like a spontaneous ensemble from the outset--not self-conscious participants in a fusion experiment.
Personality	Scuba	Electronic	2012-03-06 00:00:00	Clash Music	75.0	A hodgepodge LP bound skillfully by the starry-eyed aestheticism he's become so fond of lately.
Live A Little	Pernice Brothers	Indie	2006-10-03 00:00:00	Delusions of Adequacy	78.0	No alarms, no surprises.
Enemy Chorus	The Earlies	Indie	2007-01-23 00:00:00	New Musical Express (NME)	67.0	Where the songs were once floaty-light, 'The Enemy Chorus' is anchored in electronic menace and murky krautrock undercurrents that make it throb as much as shimmer. [20 Jan 2007, p.31]
Maritime	Minotaur Shock	Electronic	2005-08-09 00:00:00	Pitchfork	76.0	When the Shock does muster a strong melody, he makes a synth-pop jam out of it, and those are Maritime's better moments.
Hollow Meadows	Richard Hawley	Pop/Rock	2015-09-11 00:00:00	Record Collector	78.0	So it’s an album that demands your attention.
Rainy Day Music	The Jayhawks	Rock	2003-04-08 00:00:00	Amazon.com	73.0	Even with its share of jangle-pop gems, the disc also offers a few bland strummers that never quite take off.
Sensuous	Cornelius	Indie	2007-04-24 00:00:00	Stylus Magazine	70.0	It’s a little disjointed, more enigmatic, and more confounding than its predecessors: a gentle, mysterious giant of an album that could only have been created by a father.
The Devil You Know	Heaven & Hell	Rock	2009-04-28 00:00:00	Hartford Courant	63.0	Sure enough, we know these devils: they're the ones who make so many latter-day metal bands look like hopeless poseurs.
Together	The New Pornographers	Rock	2010-05-04 00:00:00	New Musical Express (NME)	71.0	They stake a firm claim for parity with arguably their most consistent set yet.
What's Your 20? Essential Tracks 1994-2014	Wilco	Pop/Rock	2014-11-17 00:00:00	Drowned In Sound	84.0	It’s one for the wider music aficionado too though, a fine opportunity to appreciate the best band of the past 20 years.
Float	Flogging Molly	Rock	2008-03-04 00:00:00	Linda	69.0	I love this album, the music, lyrics and general feeling of these songs keeps them at the top of my list
The Day's War	Lonely the Brave	Pop/Rock	2014-09-01 00:00:00	highkingnm	70.0	A masterpiece. Every song on this album is flawlessly crafted from 'Intro' to 'Outro'. Singles 'Trick of the Light' and 'Backroads' start theA masterpiece. Every song on this album is flawlessly crafted from 'Intro' to 'Outro'. Singles 'Trick of the Light' and 'Backroads' start the album in more lively and upbeat vein before the more pounding and anthemic 'Islands', 'Deserter' and 'Dinosaurs' come in to add weight to the record. 'Untitled' adds space with an instrumental interlude before mid-tempo numbers 'Kings of the Mountain' and 'Victory Line' bring it back. 'Black Saucers' is the fastest and most aggressive song on here but is perfectly placed so that it doesn't feel out of place. But the true closing trio ('Outro' being in much the same vein as 'Untitled' and 'Intro') of 'The Blue, The Green', 'The Day's War' and 'Call of Horses' give this album the send off it deserves with the right mix of soul searching beauty, space and huge sound that makes this album so great.Best tracks: The Blue, The Green; Victory LineFor fans of: Biffy Clyro, Mallory Knox&hellip;Full Review &raquo;
The  Rip Tide	Beirut	Pop/Rock	2011-08-30 00:00:00	The Independent (UK)	78.0	The engaging mood is further enhanced by Condon's baffling but beautiful lyrics.
Cansei De Ser Sexy	CSS	Indie	2006-07-11 00:00:00	PopMatters	73.0	If only they can iron out this dichotomy between their more sophisticated looks at twenty-something hipster love and these over-the-top sex-me cuts, CSS could last longer than just being your latest summer crush.
In The Vines	Castanets	Indie	2007-10-23 00:00:00	NOW Magazine	75.0	If In the Vines isn't a record that impresses at the level of individual songs, neither is it something you throw on in the background and forget about.
The Greatest	Cat Power	Indie	2006-01-24 00:00:00	rass.	80.0	perfect!
Romance Is Boring	Los Campesinos!	Indie	2010-01-26 00:00:00	The A.V. Club	75.0	It might’ve made a better EP than LP. But even at their brattiest, the Welsh indie-rockers in Los Campesinos are a tough lot to hate. Their cacophony of instruments and voices aptly conveys what the music is about.
Minimum Rock N Roll	Chain & the Gang	Pop/Rock	2014-04-14 00:00:00	Exclaim	70.0	Minimum Rock N Roll is a dynamic and vibrant good-time screed; it's not anti-consumption but it is out to have people consume discerningly.
Set Yourself On Fire	Stars	Indie	2005-03-08 00:00:00	PopMatters	81.0	If this record doesn't quite match Heart, it's a close-run thing.
Rudebox	Robbie Williams	Rock	2006-10-23 00:00:00	New Musical Express (NME)	53.0	'Rudebox' is not 'Robbie Williams the serious artiste', but it is an amazing pop album.
The Harsh Light of Day	Fastball	Rock	2000-09-19 00:00:00	CDNow	64.0	With its brand of easily accessible pop rock, the Austin, Texas-based trio presents an extremely likable musical front that's based more upon influence than innovation.
Shadows in the Night	Bob Dylan	Pop/Rock	2015-02-03 00:00:00	Slant Magazine	82.0	The songs chosen are elegiac, and Dylan balances out any hints of winking self-awareness by freighting his new compositions with a heavy air of wistful sadness.
Pearl Mystic	Hookworms	Pop/Rock	2013-04-02 00:00:00	Q Magazine	77.0	While such single-mindedness doesn't leave much room for light and shade, at its best Pearl Mystic is testament to the power of head-nodding repetition and well-stomped FX pedals. [Apr 2013, p.104]
Exile On Main Street [Reissue]	The Rolling Stones	Rock	2010-05-18 00:00:00	Beats	100.0	Gotta give it up for the stones. They are one of the most influential artists of our time. Exile on Main Street is probably to go down as oneGotta give it up for the stones. They are one of the most influential artists of our time. Exile on Main Street is probably to go down as one of the best albums of all time.&hellip;Full Review &raquo;
Volume 1: Frozen Ropes and Dying Quails	The Baseball Project	Rock	2008-07-08 00:00:00	NOW Magazine	76.0	The insightful tunes are cleverly composed, with a sharp sense of wit and a comprehensive knowledge of the game.
Presents...Here Come the Bombs	Gaz Coombes	Pop/Rock	2012-05-21 00:00:00	Drowned In Sound	70.0	Ultimately the riffs and hooks aren't up to the standard of previous Coombes-led outings, and whilst the textured soundscapes can help disguise this slightly the reality is that the majority of this record, whilst occasionally interesting and certainly surprising, is just ... a little boring.
Into The Blue Again	The Album Leaf	Indie	2006-09-12 00:00:00	Playlouder	67.0	A lesson in understatement, 'Into The Blue Again' reminds us that LaValle is the undisputed master of emitting emotion without embellishing it with perverse orchestration or all manner of multi-tracked trickery.
Reptile	Eric Clapton	Rock	2001-03-13 00:00:00	Rolling Stone	66.0	Over the course of fourteen tracks, Clapton blends virtually every style he's worked in during the past thirty-five years. Whether it will strike your ears as something-for-everyone generosity or a patchy jumble probably depends on how much of a purist you are.
At War With The Mystics	The Flaming Lips	Indie	2006-04-04 00:00:00	Village Voice	76.0	This is the sound of a band run dry.
A Rock In The Weary Land	The Waterboys	Rock	2001-08-21 00:00:00	JimC	66.0	Mike Scott at his brilliant best
This Addiction	Alkaline Trio	Rock	2010-02-23 00:00:00	Delusions of Adequacy	70.0	Based on the simple songwriting and the nauseating lyrical content, This Addiction is sad, and to the die-hard Alkaline Trio fans such as myself, it will greatly disappoint.
Silver Age	Bob Mould	Pop/Rock	2012-09-04 00:00:00	Drowned In Sound	80.0	Silver Age's songs come across as a little homogeneous, but it's an exhilarating homogeneous mass, which is all that really counts.
Ultraviolet	Kylesa	Pop/Rock	2013-05-28 00:00:00	Revolver	78.0	In the end, Ultraviolet’s finest moments occur when Kylesa venture farthest from their proven strengths and step into the unknown.
Unreal	Hebronix	Pop/Rock	2013-07-09 00:00:00	Consequence of Sound	73.0	There are special moments to be found in this disjointed musical grab bag, so if nothing else, the record at least gives enough reason to keep an open ear for what comes next.
On a Mission	Katy B	R&B;	2011-09-13 00:00:00	PopMatters	76.0	It would be nice if she opted for less tried and true subject matter, but there is plenty of time for Katy to become more lyrically adventurous.
Virgins	Tim Hecker	Electronic	2013-10-15 00:00:00	Q Magazine	87.0	A record tremblingly alert to the darkness, it flickers like a candle in the gloom, a victory for the forces of good against all odds. [Dec 2013, p.107]
No Boys Allowed	Keri Hilson	Pop	2010-12-21 00:00:00	The Guardian	54.0	Though Hilson sings like a sweet-voiced dream throughout, No Boys Allowed is muddled and devoid of the gutsiness the title leads us to expect.
Up The Bracket	The Libertines	Indie	2003-03-18 00:00:00	Neumu.net	78.0	More life-affirming than life-changing, on Up the Bracket the Libertines deliver a stellar set of songs that -- both musically and lyrically -- neatly synthesizes the past 40 years of English rock.
Let Me Go, Let Me Go, Let Me Go	Jason Molina	Indie	2006-08-22 00:00:00	Uncut	67.0	One man's hurt is often another man's monotony. [Nov 2006, p.120]
Dream On	Ital	Electronic	2012-11-13 00:00:00	Tiny Mix Tapes	72.0	Dream On moves in pretty similar territory to Hive Mind and with almost as much flair.
St. Vincent	St. Vincent	Pop/Rock	2014-02-25 00:00:00	Consequence of Sound	89.0	Her biggest fans may prefer less direct writing, but it makes St. Vincent her most widely appealing album to date, an infectious work that doesn’t ever feel like a compromise.
Empire: Original Soundtrack from Season 1	Empire Cast	Rap	2015-03-10 00:00:00	Pitchfork	61.0	Empire is a wonder of absurd tricks and unforeseen turns, but the ultimate goal--rendering its music as something more than just a side platter to gripping TV--proves elusive.
Kpt.Michi.Gan	Kpt.Michi.Gan	Electronic	2004-10-05 00:00:00	Stylus Magazine	58.0	The problems on the album don’t stem from creativity or intellect, but from execution.
